これから折々お宅へ伺っても宜ござんすか	ええいらっしゃい
誰の墓へ参りに行ったか、妻がその人の名をいいましたか	いいえ、そんな事は何もおっしゃいません
これは何と読むんでしょう	アンドレとでも読ませるつもりでしょうね
すぐお宅へお帰りですか	ええ別に寄る所もありませんから
先生のお宅の墓地はあすこにあるんですか	いいえ
どなたのお墓があるんですか。――ご親類のお墓ですか	いいえ
あすこには私の友達の墓があるんです	お友達のお墓へ毎月お参りをなさるんですか
先生雑司ヶ谷の銀杏はもう散ってしまったでしょうか	まだ空坊主にはならないでしょう
今度お墓参りにいらっしゃる時にお伴をしても宜ござんすか。私は先生といっしょにあすこいらが散歩してみたい	私は墓参りに行くんで、散歩に行くんじゃないですよ
私は	私はあなたに話す事のできないある理由があって、他といっしょにあすこへ墓参りには行きたくないのです。自分の妻さえまだ伴れて行った事がないのです
あなたは何でそうたびたび私のようなものの宅へやって来るのですか	何でといって、そんな特別な意味はありません。――しかしお邪魔なんですか
私は淋しい人間です	だからあなたの来て下さる事を喜んでいます。だからなぜそうたびたび来るのかといって聞いたのです
また来ましたね	ええ来ました
私は淋しい人間ですが、ことによるとあなたも淋しい人間じゃないですか。私は淋しくっても年を取っているから、動かずにいられるが、若いあなたはそうは行かないのでしょう。動けるだけ動きたいのでしょう。動いて何かに打つかりたいのでしょう……	私はちっとも淋しくはありません
珍らしい事。私に呑めとおっしゃった事は滅多にないのにね	お前は嫌いだからさ。しかし稀には飲むといいよ。好い心持になるよ
ちっともならないわ。苦しいぎりで。でもあなたは大変ご愉快そうね、少しご酒を召し上がると	時によると大変愉快になる。しかしいつでもというわけにはいかない
今夜はいかがです	今夜は好い心持だね
これから毎晩少しずつ召し上がると宜ござんすよ	そうはいかない
子供でもあると好いんですがね	そうですな
一人貰ってやろうか	貰ッ子じゃ、ねえあなた
なぜです	天罰だからさ
今日は駄目です	愉快になれませんか
君、今夜はどうかしていますね	実は私も少し変なのですよ。君に分りますか
実は先刻妻と少し喧嘩をしてね。それで下らない神経を昂奮させてしまったんです	どうして……
妻が私を誤解するのです。それを誤解だといって聞かせても承知しないのです。つい腹を立てたのです	どんなに先生を誤解なさるんですか
そういうと、夫の方はいかにも心丈夫のようで少し滑稽だが。君、私は君の眼にどう映りますかね。強い人に見えますか、弱い人に見えますか	中位に見えます
もう遅いから早く帰りたまえ。私も早く帰ってやるんだから、妻君のために	妻君のために
先生はなぜああやって、宅で考えたり勉強したりなさるだけで、世の中へ出て仕事をなさらないんでしょう	あの人は駄目ですよ。そういう事が嫌いなんですから
つまり下らない事だと悟っていらっしゃるんでしょうか	悟るの悟らないのって、――そりゃ女だからわたくしには解りませんけれど、おそらくそんな意味じゃないでしょう。やっぱり何かやりたいのでしょう。それでいてできないんです。だから気の毒ですわ
しかし先生は健康からいって、別にどこも悪いところはないようじゃありませんか	丈夫ですとも。何にも持病はありません
それでなぜ活動ができないんでしょう	それが解らないのよ、あなた。それが解るくらいなら私だって、こんなに心配しやしません。わからないから気の毒でたまらないんです
若い時はあんな人じゃなかったんですよ。若い時はまるで違っていました。それが全く変ってしまったんです	若い時っていつ頃ですか
書生時代よ	書生時代から先生を知っていらっしゃったんですか
新婚の夫婦のようだね	仲が好さそうですね
君は恋をした事がありますか	恋をしたくはありませんか
したくない事はないでしょう	ええ
君は今あの男と女を見て、冷評しましたね。あの冷評のうちには君が恋を求めながら相手を得られないという不快の声が交っていましょう	そんな風に聞こえましたか
